SAMPLE_ID,NORTHEASTASIAN,MEDITERRANIAN,SOUTHAFRICA,SOUTHWESTASIAN,NATIVEAMERICAN,OCEANIAN,SOUTHEASTASIA,NORTHERNEUROPEAN,SUBSAHARANAFRICA,GROUP_ID
GRC11075043,0,0.5028,0.0046,0.1371,0,0,0.004,0.3312,0.0202,Iberian
GRC11075044,0,0.5055,0.0049,0.1411,0,0,0.0138,0.3344,2.00E-04,Iberian
GRC12076289,0.0484,0.4237,0,0.3225,0.0161,9.00E-04,0,0.1885,0,Ingush
GRC12076313,0.0557,0.4561,0,0.3073,0.0228,0,0,0.1581,0,Ingush
GRC12076301,0.0423,0.4435,0,0.3396,0.0108,0,0,0.1638,0,Ingush
GRC12076325,0.0379,0.4671,0,0.3419,4.00E-04,0,0,0.1526,0,Ingush
GRC12076333,0.0436,0.4267,0,0.4672,0,1.00E-04,0,0.0624,0,Iran
GRC12076337,0.0501,0.3921,0,0.4271,0.0077,0.0029,0,0.12,0,Iran
GRC12076339,0.0502,0.4058,0,0.4165,0,0.007,0.0252,0.0766,0.0187,Iran
GRC12076350,0.1926,0.3209,0,0.3236,0.0181,0,0.0452,0.0962,0.0034,Iran
GRC12076334,0.0258,0.4766,0,0.4266,0,0,0,0.0708,2.00E-04,Iran
GRC12076335,0.0194,0.5156,5.00E-04,0.4209,0,0,0,0.0436,0,Iran
GRC12076340,0.0495,0.5096,0,0.3403,0,0.0081,0.0101,0.0824,0,Iran
GRC12076349,0.0211,0.5179,0,0.3981,0,0,0,0.0628,0,Iran
GRC12076351,0.0533,0.5482,0,0.3204,0,0.0065,0,0.0681,0.0034,Iran
GRC12076352,0.0593,0.4717,0,0.3844,0.0049,0.0018,0,0.0779,0,Iran
GRC12076384,0.0313,0.5002,0,0.3409,0,0.0083,0,0.0645,0.055,Iran
GRC12076397,0.0405,0.4865,0,0.4256,1.00E-04,0,0,0.0473,0,Iran
GRC12076332,0.0467,0.3485,0,0.5078,0.0015,0.003,0.0267,0.0658,0,Iran
GRC12076336,0.0453,0.2969,0,0.4975,0,0.002,0.0458,0.1057,0.0068,Iran
GRC12076338,0.0504,0.3151,0.0084,0.5314,0,0.0175,0.0092,0.068,0,Iran
GRC12076396,0.0444,0.3221,0.0062,0.4791,0.0066,0.0077,0.0495,0.0684,0.0159,Iran
GRC11075109,0,0.5451,0,0.1673,0,1.00E-04,0.0068,0.2807,0,Italian
GRC11075112,0,0.5493,0.0074,0.1502,0.0033,0,0,0.2898,0,Italian
GRC11075114,0,0.5175,0,0.1785,0,0,0.016,0.2879,0,Italian
GRC11075117,0,0.5391,6.00E-04,0.1782,0.0015,0.0064,0,0.2741,0,Italian
GRC11075120,0,0.5371,0,0.1838,0,0.005,0,0.274,0,Italian
GRC11075113,0.0127,0.5489,0,0.1957,0,0,0.0061,0.2366,0,Italian
GRC11075115,0.0032,0.5475,0,0.1993,0,0,0,0.2499,0,Italian
GRC11075110,0.0013,0.5569,0,0.1724,0.0068,0,0.005,0.2574,0,Italian
GRC11075111,0,0.5492,0,0.1695,0,0,0.0252,0.256,0,Italian
GRC11075116,0,0.5408,0,0.1813,0,0,0.0182,0.2586,0.001,Italian
GRC11075118,0,0.5455,0,0.1701,0.0017,0,0.0183,0.2644,0,Italian
